Company,Valuation,Valuation in B,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Finding in M,Select Investors
PolicyBazaar,$2B,2,06-05-2019,Fintech,Gurgaon,India,Asia,2008,$634M,634,"Info Edge, Softbank Capital"
Promasidor Holdings,$2B,2,08-11-2016,Consumer & retail,Bryanston,South Africa,Asia,1979,$556M,556,"IFC, Ajinomoto"
Tubatu.com,$2B,2,09-03-2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$216M,216,"Sequoia Capital China, Matrix Partners China, 58.com"
Ximalaya FM,$2B,2,22-09-2017,Mobile & telecommunications,Shanghai,China,Asia,2012,$71M,71,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
HEYTEA,$2B,2,01-07-2019,Other,Shenzhen,China,Asia,2012,$594M,594,"Sequoia Capital China, Tencent Investment, BA Capital"
BGL Group,$2B,2,24-11-2017,Fintech,Peterborough,United Kingdom,Europe,1992,$696M,696,CPP Investment Board
Claroty,$2B,2,17-06-2021,Cybersecurity,New York,United States,North America,2015,$640M,640,"Bessemer Venture Partners, MoreVC, Team8"
Improbable,$2B,2,11-05-2017,Other,London,United Kingdom,Europe,2012,$754M,754,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
InMobi,$2B,2,02-12-2014,Mobile & telecommunications,Bengaluru,India,Asia,2007,$221M,221,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
MindMaze,$2B,2,28-01-2016,Health,Lausanne,Switzerland,Europe,2012,$340M,340,Hinduja Group
Ninja Van,$2B,2,27-09-2021,"Supply chain, logistics, & delivery",,Singapore,Asia,2014,$975M,975,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
Pantheon Systems,$2B,2,13-07-2021,Internet software & services,San Francisco,United States,North America,2010,$200M,200,"Foundry Group, Scale Venture Partners, SoftBank Group"
SellerX,$2B,2,09-12-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$766M,766,"Cherry Ventures, Felix Capital, 83North"
AppDirect,$2B,2,07-10-2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2009,$431M,431,"Mithril, iNovia Capital, Foundry Group"
BrewDog,$2B,2,10-04-2017,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,$233M,233,"TSG Consumer Partners, Crowdcube"
Enflame,$2B,2,05-01-2021,Hardware,Shanghai,China,Asia,2018,$472M,472,"Tencent Holdings, Delta Capital, Redpoint Ventures China"
Tradeshift,$2B,2,30-05-2018,Fintech,San Francisco,United States,North America,2009,$861M,861,"Notion Capital, Scentan Ventures, Kite Ventures"
HeartFlow,$2B,2,04-12-2017,Health,Redwood City,United States,North America,2007,$568M,568,"BlueCross BlueShield Venture Partners, US Venture Partners"
Extend,$2B,2,18-05-2021,Fintech,San Francisco,United States,North America,2004,$320M,320,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures"
Airbyte,$2B,2,17-12-2021,Internet software & services,San Francisco,United States,North America,2020,$181M,181,"Accel, Benchmark, SV Angel"
Andela,$2B,2,29-09-2021,Internet software & services,New York,United States,North America,2014,$381M,381,"Spark Capital, Google Ventures, CRE Venture Capital"
Ascend Money,$2B,2,27-09-2021,Fintech,Bangkok,Thailand,Asia,2013,$150M,150,"Ant Group, Charoen Pokphand Group, Bow Wave Capital"
Athelas,$2B,2,31-01-2022,Health,Mountain View,United States,North America,2016,$150M,150,"Sequoia Capital, General Catalyst, Human Capital"
Built,$2B,2,30-09-2021,Internet software & services,Nashville,United States,North America,2015,$289M,289,"Nyca Partners, Index Ventures, Technology Crossover Ventures"
candy.com,$2B,2,21-10-2021,Fintech,New York,United States,North America,2021,$100M,100,"Insight Partners, Softbank Group, Connect Ventures"
Cognite,$2B,2,19-05-2021,Data management & analytics,Lysaker,Norway,Europe,2016,$225M,225,"Technology Crossover Ventures, Accel, Aker"
CoinList,$2B,2,15-10-2021,Fintech,San Francisco,United States,North America,2017,$119M,119,"Accomplice, Polychain Capital, GoldenTree Asset Management"
Collective Health,$2B,2,17-06-2019,Fintech,San Francisco,United States,North America,2013,$719M,719,"New Enterprise Associates, Founders Fund, Google Ventures"
Culture Amp,$2B,2,29-07-2021,Internet software & services,Richmond,Australia,Oceania,2011,$257M,257,"Felicis Ventures, Index Ventures, Blackbird Ventures"
Devo,$2B,2,26-10-2021,Data management & analytics,Cambridge,United States,North America,2011,$381M,381,"Insight Partners, Kibo Ventures, Bessemer Venture Partners"
ElasticRun,$2B,2,07-02-2022,"Supply chain, logistics, & delivery",Pune,India,Asia,2016,$435M,435,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures"
Gett,$2B,2,24-05-2016,Auto & transportation,London,United Kingdom,Europe,2010,$828M,828,"Volkswagen, Access Industries, Vostok New Ventures"
ID.me,$2B,2,19-03-2021,Cybersecurity,McLean,United States,North America,2010,$142M,142,"Moonshots Capital, BoxGroup, Blu Venture Investors"
impact.com,$2B,2,13-07-2021,Internet software & services,Santa Barbara,United States,North America,2008,$261M,261,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners"
Ledger,$2B,2,10-06-2021,Hardware,Paris,France,Europe,2014,$466M,466,"Digital Currency Group, Draper Esprit, Korelya Capital"
Lusha,$2B,2,10-11-2021,Internet software & services,New York,United States,North America,2016,$245M,245,"PSG, ION Crossover Partners"
Matillion,$2B,2,15-09-2021,Data management & analytics,Altrincham,United Kingdom,Europe,2011,$310M,310,"Scale Venture Partners, Sapphire Ventures, Battery Ventures"
MOLOCO,$2B,2,29-04-2021,Artificial intelligence,Redwood City,United States,North America,2013,$192M,192,"Smilegate Investment, DSC Investments, KTB Ventures"
Mu Sigma,$2B,2,07-02-2013,Data management & analytics,Northbrook,United States,North America,2004,$211M,211,"Sequoia Capital, General Atlantic"
Next Silicon,$2B,2,14-06-2021,Hardware,Tel Aviv,Israel,Asia,2018,$203M,203,"Amiti Ventures, Playground Global, Aleph"
NotCo,$2B,2,26-07-2021,Artificial Intelligence,Santiago,Chile,South America,2015,$370M,370,"Kaszek Ventures, SOSV, Tiger Global Management"
Olist,$2B,2,15-12-2021,E-commerce & direct-to-consumer,Curitiba,Brazil,South America,2015,$320M,320,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund"
Pacaso,$2B,2,24-03-2021,Fintech,Cincinnati,United States,North America,2020,$217M,217,"Global Founders Capital, Shea Ventures, Greycroft"
Paradox,$2B,2,27-12-2021,Internet software & services,Scottsdale,United States,North America,2016,$253M,253,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures"
Persona,$2B,2,15-09-2021,Cybersecurity,San Francisco,United States,North America,2018,$218M,218,"Coatue Management, Index Ventures, Founders Fund"
SmartRecruiters,$2B,2,20-07-2021,Internet software & services,San Francisco,United States,North America,2010,$225M,225,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners"
Snapdocs,$2B,2,25-05-2021,Fintech,San Francisco,United States,North America,2012,$253M,253,"Sequoia Capital, Y Combinator, F-Prime Capital"
Solugen,$2B,2,10-09-2021,Other,Houston,United States,North America,2016,$435M,435,"Fifty Years Fund, Refactor Capital, Temasek"
StoreDot,$2B,2,04-01-2022,Other,Herzliya,Israel,Asia,2012,$190M,190,"Samsung Ventures, SingulariTeam, BP Ventures"
Strava,$2B,2,16-11-2020,Internet software & services,San Francisco,United States,North America,2009,$152M,152,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital"
Temporal,$2B,2,16-02-2022,Internet software & services,Bellevue,United States,North America,2019,$129M,129,"Amplify Partners, Addition, Madrona Venture Group"
TuJia,$2B,2,17-06-2015,Travel,Beijing,China,Asia,2011,$755M,755,"GGV Capital, QiMing Venture Partnersl"
Uplight,$2B,2,03-03-2021,Other,Boulder,United States,North America,2019,Unknown,,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners"
Veho,$2B,2,21-12-2021,"Supply chain, logistics, & delivery",Boulder,United States,North America,2016,$299M,299,"General Catalyst, Origin Ventures, Fontinalis Partners"
Veriff,$2B,2,26-01-2022,Artificial intelligence,Tallinn,Estonia,Europe,2015,$177M,177,"Accel, Institutional Venture Partners, Tiger Global Management"
Whatnot,$2B,2,16-09-2021,E-commerce & direct-to-consumer,Marina del Rey,United States,North America,2019,$225M,225,"Y Combinator, Andreessen Horowitz, Wonder Ventures"
Zenoti,$2B,2,15-12-2020,Internet software & services,Bellevue,United States,North America,2010,$331M,331,"Norwest Venture Partners, Accel, Tiger Global Management"
Zeta,$2B,2,24-05-2021,Fintech,San Francisco,United States,North America,2015,$340M,340,"Sodexo Ventures, SoftBank Group"
Loom,$2B,2,20-05-2021,Internet software & services,San Francisco,United States,North America,2016,$204M,204,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst"
Mobile Premier League,$2B,2,15-09-2021,Internet software & services,Bengaluru,India,Asia,2018,$376M,376,"Sequoia Capital India, RTP Global, Go-Ventures"
Uala,$2B,2,13-08-2021,Fintech,Buenos Aires,Argentina,South America,2017,$544M,544,"Soros Fund Management, Ribbit Capital, Monashees+"
Wenheyou,$2B,2,17-04-2021,Other,Hunan,China,Asia,2013,$90M,90,"Sequoia Capital China, Warburg Pincus, IDG Capital"
Star Charge,$2B,2,19-05-2021,Auto & transportation,Changzhou,China,Asia,2014,$125M,125,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
ABL Space Systems,$2B,2,25-03-2021,Other,El Segundo,United States,North America,2017,$419M,419,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment"
Afiniti,$2B,2,14-04-2017,Artificial intelligence,Hamilton,Bermuda,North America,2006,$120M,120,GAM Holding
ASAPP,$2B,2,19-05-2021,Artificial intelligence,New York,United States,North America,2014,$380M,380,"March Capital Partners, HOF Capital, Emergence Capital Partners"
BitSight Technologies,$2B,2,13-09-2021,Cybersecurity,Boston,United States,North America,2013,$401M,401,"Menlo Ventures, GGV Capital, Flybridge Capital Partners"
Cao Cao Mobility,$2B,2,17-01-2018,Auto & transportation,Hangzhou,China,Asia,2015,$744M,744,"People Electrical Appliance Group China, Zhongrong International Trust"
Capitolis,$2B,2,22-03-2022,Fintech,New York,United States,North America,2017,$282M,282,"Sequoia Capital, Index Ventures, S Capital"
Carbon,$2B,2,20-08-2015,Hardware,Redwood City,United States,North America,2013,$682M,682,"Google Ventures, Sequoia Capital, Wakefield Group"
Clio,$2B,2,27-04-2021,Internet software & services,Burnaby,Canada,North America,2008,$386M,386,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures"
Cresta,$2B,2,17-03-2022,Artificial Intelligence,San Francisco,United States,North America,2017,$151M,151,"Andreessen Horowitz, Greylock Partners, Sequoia Capital"
Exabeam,$2B,2,01-06-2021,Cybersecurity,Foster City,United States,North America,2013,$390M,390,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners"
ezCater,$2B,2,02-04-2019,"Supply chain, logistics, & delivery",Boston,United States,North America,2007,$421M,421,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group"
HomeLight,$2B,2,02-09-2021,Fintech,San Francisco,United States,North America,2012,$219M,219,"Zeev Ventures, Menlo Ventures,Crosslink Capital"
HoneyBook,$2B,2,04-05-2021,Internet software & services,San Francisco,United States,North America,2013,$498M,498,"Norwest Venture Partners, Hillsven Capital, Aleph"
Infinidat,$2B,2,29-04-2015,Hardware,Waltham,United States,North America,2011,$325M,325,"TPG Growth, Goldman Sachs"
Mercury,$2B,2,03-07-2021,Fintech,San Francisco,United States,North America,2019,$152M,152,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures"
Paxos,$2B,2,29-04-2021,Fintech,New York,United States,North America,2012,$538M,538,"Liberty City Ventures, RRE Ventures, Mithril Capital Management"
SafetyCulture,$2B,2,03-05-2021,Internet software & services,Sydney,Australia,Oceania,2004,$222M,222,"Blackbird Ventures, IndexVentures, Tiger Global Management"
SmartHR,$2B,2,08-06-2021,Fintech,Tokyo,Japan,Asia,2013,$190M,190,"BEENEXT, World Innovation Lab, Light Street Capital"
Tonal,$2B,2,31-03-2021,E-commerce & direct-to-consumer,San Francisco,United States,North America,2015,$450M,450,"Mayfield Fund, Shasta Ventures, L Catterton"
Truepill,$2B,2,27-10-2021,Health,Hayward,United States,North America,2016,$255M,255,"Initialized Capital, Sound Ventures, TI Platform Management"
Unite Us,$2B,2,16-03-2021,Health,New York,United States,North America,2014,$195M,195,"Insight Partners, Sequoia Capital, Index Ventures"
Verkada,$2B,2,29-01-2020,Cybersecurity,San Mateo,United States,North America,2016,$139M,139,"next47, First Round Capital, Sequoia Capital"
Wayflyer,$2B,2,01-02-2022,Fintech,Dublin,Ireland,Europe,2019,$236M,236,"QED Investors, DST Global, Left Lane Capital"
Zhubajie,$2B,2,16-06-2015,Internet software & services,Chongqing,China,Asia,2006,$445M,445,"Cybernaut Growth Fund, IDG Capital"
Transcarent,$2B,2,11-01-2022,Health,San Francisco,United States,North America,2020,$298M,298,"Alta Partners, General Catalyst, Jove Equity Partners"
Trader Interactive,$2B,2,12-05-2021,Other,Norfolk,United States,North America,2017,$624M,624,Carsales
Glossier,$2B,2,19-03-2019,Consumer & retail,New York,United States,North America,2014,$266M,266,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
Hibob,$2B,2,12-10-2021,Internet software & services,Tel Aviv,Israel,Asia,2015,$274M,274,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures"
Jobandtalent,$2B,2,01-12-2021,Internet software & services,Madrid,Spain,Europe,2009,$902M,902,"Kibo Ventures, SoftBank Group, Atomico"
Optimism,$2B,2,17-03-2022,Internet software & services,San Francisco,United States,North America,2019,$179M,179,"Paradigm, Huobi Ventures, Andreessen Horowitz"
solarisBank,$2B,2,13-07-2021,Fintech,Berlin,Germany,Europe,2016,$403M,403,"Yabeo Capital, SBI Investment, Vulcan Capital"
WEMAKEPRICE,$2B,2,09-09-2015,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2009,$397M,397,"IMM Investment, NXC"
Alan,$2B,2,19-04-2021,Fintech,Paris,France,Europe,2016,$364M,364,"Index Ventures, Temasek, Portag3 Ventures"
Biren Technology,$2B,2,18-08-2020,Hardware,Shanghai,China,Asia,2019,$285M,285,"V FUND, IDG Capital, Green Pine Capital Partners"
Voodoo,$2B,2,17-08-2020,Other,Paris,France,Europe,2013,$517M,517,"Tencent Holdings, Goldman Sachs"
Carsome,$2B,2,12-07-2021,E-commerce & direct-to-consumer,Selangor,Malaysia,Asia,2015,$577M,577,"Gobi Partners, 500 Startups, Ondine Capital"
CircleCI,$2B,2,11-05-2021,Internet software & services,San Francisco,United States,North America,2011,$315M,315,"Threshold Ventures, Baseline Ventures, Harrison Metal"
DealShare,$2B,2,27-01-2022,E-commerce & direct-to-consumer,Bengaluru,India,Asia,2018,$612M,612,"Alpha Wave Global, Matrix Partners India, Tiger Global Management"
DispatchHealth,$2B,2,03-03-2021,Health,Denver,United States,North America,2013,$403M,403,"Alta Partners, Questa Capital, Echo Health Venturesl"
Dragos,$2B,2,28-10-2021,Cybersecurity,Hanover,United States,North America,2016,$358M,358,"DataTribe, Energy Impact Partners, AllegisCyber Capital"
Gousto,$2B,2,03-11-2020,"Supply chain, logistics, & delivery",London,United Kingdom,Europe,2012,$311M,311,"MMC Ventures, BGF Ventures, Unilever Ventures"
H2O.ai,$2B,2,07-11-2021,Artificial intelligence,Mountain View,United States,North America,2011,$251M,251,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners"
Harness,$2B,2,14-01-2021,Artificial intelligence,San Francisco,United States,North America,2016,$195M,195,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
Harry's,$2B,2,16-02-2018,Consumer & retail,New York,United States,North America,2013,$792M,792,"Thrive Capital, Tiger Global Management, Temasek"
PAX,$2B,2,22-10-2018,Consumer & retail,San Francisco,United States,North America,2007,$542M,542,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
Productboard,$2B,2,02-02-2022,Internet software & services,San Francisco,United States,North America,2014,$261M,261,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners"
Reltio,$2B,2,04-11-2021,Data management & analytics,Redwood City,United States,North America,2011,$237M,237,"Crosslink Capital, .406 Ventures, Sapphire Ventures"
Spotter,$2B,2,16-02-2022,Fintech,Los Angeles,United States,North America,2019,$231M,231,"SoftBank Group, Access Industries, Crossbeam Venture Partners"
Vestiaire Collective,$2B,2,01-03-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2009,$663M,663,"Eurazeo, IDInvest Partners, Balderton Capital"
Wave,$2B,2,07-09-2021,Fintech,Dakar,Senegal,Africa,2018,$200M,200,"Stripe, Founders Fund, Partech Partners"
ZenBusiness,$2B,2,09-11-2021,Fintech,Austin,United States,North America,2015,$275M,275,"Greycroft, Lerer Hippeau, Geekdom Fund"
Bowery Farming,$2B,2,25-05-2021,Other,New York,United States,North America,2015,$497M,497,"Temasek, Google Ventures, General Catalyst"
Greenlight,$2B,2,24-09-2020,Fintech,Atlanta,United States,North America,2014,$557M,557,"Relay Ventures, TTV Capital, Canapi Ventures"
KeepTruckin,$2B,2,23-04-2019,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$417M,417,"Google Ventures, Index Ventures, Scale Venture Partners"
Odoo,$2B,2,29-07-2021,Internet software & services,Louvain-la-Neuve,Belgium,Europe,2005,$229M,229,"Summit Partners, Noshaq, Sofinnova Partners"
Skydance Media,$2B,2,11-02-2020,Other,Santa Monica,United States,North America,2010,$275M,275,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
Uptake,$2B,2,27-10-2015,Artificial intelligence,Chicago,United States,North America,2014,$218M,218,"Revolution, New Enterprise Associates, Caterpillar"
MoMo,$2B,2,10-12-2021,Fintech,Ho Chi Minh City,Vietnam,Asia,2013,$434M,434,"Goodwater Capital, Warburg Pincus, GS Growth"
Algolia,$2B,2,28-07-2021,Internet software & services,San Francisco,United States,North America,2012,$334M,334,"Accel, Alven Capital, Storm Ventures"
Pattern,$2B,2,06-10-2021,Internet software & services,Lehi,United States,North America,2013,$277M,277,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners"
Spinny,$2B,2,24-11-2021,E-commerce & direct-to-consumer,Gurugram,India,Asia,2015,$509M,509,"General Catalyst, Eleation Capital, Avenir Growth Capital"
Trulioo,$2B,2,07-06-2021,Cybersecurity,Vancouver,Canada,North America,2011,$474M,474,"Blumberg Capital, American Express Ventures, BDC Venture Capital"
Zume,$2B,2,01-11-2018,Consumer & retail,Mountain View,United States,North America,2015,$423M,423,"Softbank Group, AME Cloud Ventures, SignalFire"
AIWAYS,$2B,2,16-04-2018,Auto & transportation,Shanghai,China,Asia,2017,$792M,792,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology"
Bitso,$2B,2,05-05-2021,Fintech,Mexico City,Mexico,North America,2014,$378M,378,"Pantera Capital, QED Investors, Coinbase Ventures"
BloomReach,$2B,2,23-02-2022,Artificial intelligence,Mountain View,United States,North America,2009,$422M,422,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners"
Current,$2B,2,27-04-2021,Fintech,New York,United States,North America,2015,$402M,402,"Expa, QED Investors, Foundation Capital"
Dialpad,$2B,2,06-10-2020,Internet software & services,San Francisco,United States,North America,2011,$400M,400,"Andreessen Horowitz, Google Ventures, Section 32"
G7 Networks,$2B,2,15-02-2022,"Supply chain, logistics, & delivery",Beijing,China,Asia,2006,$710M,710,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners"
Gympass,$2B,2,12-06-2019,Internet software & services,New York,United States,North America,2012,$525M,525,"General Atlantic, SoftBank Group, Atomico"
MUSINSA,$2B,2,11-11-2019,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2001,$287M,287,Sequoia Capital
NuCom Group,$2B,2,22-02-2018,Other,Unterfoehring,Germany,Europe,2016,$550M,550,General Atlantic
Reify Health,$2B,2,10-08-2021,Health,Boston,United States,North America,2012,$259M,259,"Sierra Ventures, Battery Ventures, Asset Management Ventures"
Diamond Foundry,$2B,2,29-03-2021,Other,San Francisco,United States,North America,2012,$351M,351,"Fashion Tech Lab, Fidelity Investments, Vast Ventures"
FullStory,$2B,2,04-08-2021,Internet software & services,Atlanta,United States,North America,2014,$172M,172,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group"
Lightricks,$2B,2,31-07-2019,Artificial intelligence,Jerusalem,Israel,Asia,2013,$305M,305,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs"
Opentrons,$2B,2,23-09-2021,Hardware,New York,United States,North America,2016,$240M,240,"SOSV, Khosla Ventures, Lerer Hippeau"
ZocDoc,$2B,2,20-08-2015,Health,New York,United States,North America,2007,$374M,374,"Founders Fund, Khosla Ventures, Goldman Sachs"
Accelerant,$2B,2,12-01-2022,Other,Colchester,United Kingdom,Europe,2018,$193M,193,"Deer Park Road, Altamont Capital Partners, Eldridge"
Huaqin Telecom Technology,$2B,2,08-10-2019,Mobile & telecommunications,Shanghai,China,Asia,2005,$298M,298,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital"
Addepar,$2B,2,15-06-2021,Fintech,Mountain View,United States,North America,2009,$676M,676,"8VC, D1 Capital Partners, Sway Ventures"
YITU Technology,$2B,2,08-03-2018,Artificial intelligence,Shanghai,China,Asia,2012,$401M,401,"Sequoia Capital China, Banyan Capital"
CloudWalk,$2B,2,08-09-2021,Fintech,Sao Paulo,Brazil,South America,2015,$345M,345,"Plug and Play Ventures, Valor Capital Group, DST Global"
Retool,$2B,2,22-12-2021,Internet software & services,San Francisco,United States,North America,2000,$96M,96,Sequoia Capital
Volocopter,$2B,2,04-03-2022,Auto & transportation,Bruchsal,Germany,Europe,2011,$599M,599,"btov Partners, Geely, Intel Capital"
Acorns,$2B,2,09-03-2022,Fintech,Irvine,United States,North America,2012,$507M,507,"e.ventures, Bain Capital Ventures, Greycroft"
Aledade,$2B,2,19-01-2021,Health,Bethesda,United States,North America,2014,$295M,295,"Venrock, CVF Capital Partners, ARCH Venture Partners"
CoinSwitch Kuber,$2B,2,06-10-2021,Fintech,Bangalore,India,Asia,2017,$301M,301,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
ConcertAI,$2B,2,29-03-2022,Artificial Intelligence,Boston,United States,North America,2018,$300M,300,"Sixth Street Partners, Declaration Partners, Maverick Ventures Israel"
Eightfold.ai,$2B,2,27-10-2020,Internet software & services,Santa Clara,United States,North America,2016,$397M,397,"Foundation Capital, Institutional Venture Partners, General Catalyst"
FirstCry,$2B,2,07-02-2020,E-commerce & direct-to-consumer,Pune,India,Asia,2010,$441M,441,"SoftBank Group, SAIF Partners India, Valiant Capital Partners"
Forto,$2B,2,21-06-2021,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,2016,$593M,593,"Cherry Ventures, Northzone Ventures, Global Founders Capital"
GoCardless,$2B,2,08-02-2022,Fintech,London,United Kingdom,Europe,2011,$529M,529,"Accel, Passion Capital, Balderton Capital"
InVision,$2B,2,01-11-2017,Internet software & services,New York,United States,North America,2011,$349M,349,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
Jeeves,$2B,2,14-03-2022,Fintech,Orlando,United States,North America,2019,$268M,268,"Tencent Holdings, CRV, Clocktower Technology Ventures"
Medable,$2B,2,26-10-2021,Internet software & services,Palo Alto,United States,North America,2013,$507M,507,"GSR Ventures, Sapphire Ventures, Streamlined Ventures"
Moveworks,$2B,2,30-06-2021,Artificial intelligence,Mountain View,United States,North America,2016,$305M,305,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers"
MX Technologies,$2B,2,13-01-2021,Fintech,Lehi,United States,North America,2010,$450M,450,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures"
PayFit,$2B,2,06-01-2022,Fintech,London,United Kingdom,Europe,2016,$496M,496,"Accel, frst, Kima Ventures"
ReCharge,$2B,2,06-05-2021,Fintech,Los Angeles,United States,North America,2017,$277M,277,"ICONIQ Growth, Bain Capital Ventures, Summit Partners"
Roofstock,$2B,2,10-03-2022,Fintech,Oakland,United States,North America,2015,$365M,365,"Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners"
Urban Company,$2B,2,27-04-2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2014,$371M,371,"VY Capital, Accel, Elevation Capital"
Rokt,$2B,2,16-12-2021,Internet software & services,New York,United States,North America,2012,$487M,487,"Square Peg Capital, TDM Growth Partners, Tiger Global Management"
Starling Bank,$2B,2,08-03-2021,Fintech,London,United Kingdom,Europe,2014,$791M,791,"JTC Group, Qatar Investment Authority, Fidelity Investment"
Ankorstore,$2B,2,10-01-2022,E-commerce & direct-to-consumer,Paris,France,Europe,2019,$422M,422,"Global Founders Capital, Aglae Ventures, Alven Capital"
4Paradigm,$2B,2,19-12-2018,Artificial intelligence,Beijing,China,Asia,2015,$1B,1000,"Sequoia Capital China, China Construction Bank, Bank of China"
Advance Intelligence Group,$2B,2,23-09-2021,Artificial intelligence,,Singapore,Asia,2016,$536M,536,"Vision Plus Capital, GSR Ventures, ZhenFund"
Aiven,$2B,2,18-10-2021,Internet software & services,Helsinki,Finland,Europe,2016,$210M,210,"Institutional Venture Partners, Atomico, Earlybird Venture Capital"
Akulaku,$2B,2,15-02-2022,E-commerce & direct-to-consumer,Jakarta,Indonesia,Asia,2014,$438M,438,"DCM Ventures, IDG Capital, Siam Commercial Bank"
Apeel Sciences,$2B,2,26-05-2020,Other,Goleta,United States,North America,2012,$640M,640,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
AppsFlyer,$2B,2,21-01-2020,Mobile & telecommunications,San Francisco,United States,North America,2011,$293M,293,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
Avant,$2B,2,17-12-2012,Artificial intelligence,Chicago,United States,North America,2012,$658M,658,"RRE Ventures, Tiger Global, August Capital"
Aviatrix,$2B,2,08-09-2021,Internet software & services,Santa Clara,United States,North America,2014,$341M,341,"Ignition Partners, Formation 8, CRV"
BlaBlaCar,$2B,2,16-09-2015,Auto & transportation,Paris,France,Europe,2006,$449M,449,"Accel Partners, Index Ventures, Insight Venture Partners"
Black Sesame Technologies,$2B,2,22-09-2021,Artificial intelligence,Shanghai,China,Asia,2016,$115M,115,"Northern Light Venture Capital, Xiaomi, FutureX Capital"
Bunq,$2B,2,18-06-2021,Fintech,Amsterdam,Netherlands,Europe,2013,$281M,281,Undisclosed
Calm,$2B,2,06-02-2019,Consumer & retail,San Francisco,United States,North America,2012,$218M,218,"Insight Venture Partners, TPG Growth, Sound Ventures"
Chipper Cash,$2B,2,31-05-2021,Fintech,San Francisco,United States,North America,2017,$302M,302,"Deciens Capital, Bezos Expeditions, 500 Startups"
Clearco,$2B,2,20-04-2021,Fintech,Toronto,Canada,North America,2015,$433M,433,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners"
ClickHouse,$2B,2,28-10-2021,Data management & analytics,Portola Valley,United States,North America,2021,$300M,300,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
Clip,$2B,2,10-06-2021,Fintech,Mexico City,Mexico,North America,2012,$381M,381,"Alta Ventures Mexico, General Atlantic, SoftBank Group"
Cloudinary,$2B,2,15-02-2022,Internet software & services,Santa Clara,United States,North America,2011,$100M,100,"Blackstone, Bessemer Venture Partners"
Deliverr,$2B,2,22-11-2021,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2017,$456M,456,"8VC, Activant Capital, GLP Capital Partners"
Divvy Homes,$2B,2,13-08-2021,Fintech,San Francisco,United States,North America,2017,$370M,370,"Andreessen Horowitz, Caffeinated Capital, SciFi VC"
